_month,_previousMonth,_previousYear,Date,Industry (NAICS)1,_valueConnector,Dollars
June2009,2009-05-01,2008-06-01,6/1/2009,Clothing and clothing accessories stores,38296000,38296000
July2009,2009-06-01,2008-07-01,7/1/2009,Clothing and clothing accessories stores,39569000,39569000
August2009,2009-07-01,2008-08-01,8/1/2009,Clothing and clothing accessories stores,45068000,45068000
September2009,2009-08-01,2008-09-01,9/1/2009,Clothing and clothing accessories stores,43514000,43514000
October2009,2009-09-01,2008-10-01,10/1/2009,Clothing and clothing accessories stores,43888000,43888000
November2009,2009-10-01,2008-11-01,11/1/2009,Clothing and clothing accessories stores,53243000,53243000
December2009,2009-11-01,2008-12-01,12/1/2009,Clothing and clothing accessories stores,81335000,81335000
January2010,2009-12-01,2009-01-01,1/1/2010,Clothing and clothing accessories stores,30120000,30120000
February2010,2010-01-01,2009-02-01,2/1/2010,Clothing and clothing accessories stores,28594000,28594000
March2010,2010-02-01,2009-03-01,3/1/2010,Clothing and clothing accessories stores,38645000,38645000
April2010,2010-03-01,2009-04-01,4/1/2010,Clothing and clothing accessories stores,39308000,39308000
May2010,2010-04-01,2009-05-01,5/1/2010,Clothing and clothing accessories stores,42536000,42536000
June2010,2010-05-01,2009-06-01,6/1/2010,Clothing and clothing accessories stores,41503000,41503000
July2010,2010-06-01,2009-07-01,7/1/2010,Clothing and clothing accessories stores,42344000,42344000
August2010,2010-07-01,2009-08-01,8/1/2010,Clothing and clothing accessories stores,46447000,46447000
September2010,2010-08-01,2009-09-01,9/1/2010,Clothing and clothing accessories stores,43035000,43035000
October2010,2010-09-01,2009-10-01,10/1/2010,Clothing and clothing accessories stores,46078000,46078000
November2010,2010-10-01,2009-11-01,11/1/2010,Clothing and clothing accessories stores,56957000,56957000
December2010,2010-11-01,2009-12-01,12/1/2010,Clothing and clothing accessories stores,88277000,88277000
January2011,2010-12-01,2010-01-01,1/1/2011,Clothing and clothing accessories stores,30147000,30147000
February2011,2011-01-01,2010-02-01,2/1/2011,Clothing and clothing accessories stores,29343000,29343000
March2011,2011-02-01,2010-03-01,3/1/2011,Clothing and clothing accessories stores,37100000,37100000
April2011,2011-03-01,2010-04-01,4/1/2011,Clothing and clothing accessories stores,40835000,40835000
May2011,2011-04-01,2010-05-01,5/1/2011,Clothing and clothing accessories stores,41365000,41365000
June2011,2011-05-01,2010-06-01,6/1/2011,Clothing and clothing accessories stores,41002000,41002000
July2011,2011-06-01,2010-07-01,7/1/2011,Clothing and clothing accessories stores,41848000,41848000
August2011,2011-07-01,2010-08-01,8/1/2011,Clothing and clothing accessories stores,44690000,44690000
September2011,2011-08-01,2010-09-01,9/1/2011,Clothing and clothing accessories stores,43662000,43662000
October2011,2011-09-01,2010-10-01,10/1/2011,Clothing and clothing accessories stores,43214000,43214000
November2011,2011-10-01,2010-11-01,11/1/2011,Clothing and clothing accessories stores,53768000,53768000
December2011,2011-11-01,2010-12-01,12/1/2011,Clothing and clothing accessories stores,90280000,90280000
January2012,2011-12-01,2011-01-01,1/1/2012,Clothing and clothing accessories stores,28711000,28711000
February2012,2012-01-01,2011-02-01,2/1/2012,Clothing and clothing accessories stores,30286000,30286000
March2012,2012-02-01,2011-03-01,3/1/2012,Clothing and clothing accessories stores,39660000,39660000
April2012,2012-03-01,2011-04-01,4/1/2012,Clothing and clothing accessories stores,39406000,39406000
May2012,2012-04-01,2011-05-01,5/1/2012,Clothing and clothing accessories stores,44447000,44447000
June2012,2012-05-01,2011-06-01,6/1/2012,Clothing and clothing accessories stores,43942000,43942000
July2012,2012-06-01,2011-07-01,7/1/2012,Clothing and clothing accessories stores,39768000,39768000
August2012,2012-07-01,2011-08-01,8/1/2012,Clothing and clothing accessories stores,47067000,47067000
September2012,2012-08-01,2011-09-01,9/1/2012,Clothing and clothing accessories stores,44964000,44964000
October2012,2012-09-01,2011-10-01,10/1/2012,Clothing and clothing accessories stores,43121000,43121000
November2012,2012-10-01,2011-11-01,11/1/2012,Clothing and clothing accessories stores,56060000,56060000
December2012,2012-11-01,2011-12-01,12/1/2012,Clothing and clothing accessories stores,88237000,88237000
January2013,2012-12-01,2012-01-01,1/1/2013,Clothing and clothing accessories stores,30218000,30218000
February2013,2013-01-01,2012-02-01,2/1/2013,Clothing and clothing accessories stores,28711000,28711000
March2013,2013-02-01,2012-03-01,3/1/2013,Clothing and clothing accessories stores,40294000,40294000
April2013,2013-03-01,2012-04-01,4/1/2013,Clothing and clothing accessories stores,39836000,39836000
May2013,2013-04-01,2012-05-01,5/1/2013,Clothing and clothing accessories stores,45385000,45385000
June2013,2013-05-01,2012-06-01,6/1/2013,Clothing and clothing accessories stores,43195000,43195000
July2013,2013-06-01,2012-07-01,7/1/2013,Clothing and clothing accessories stores,41656000,41656000
August2013,2013-07-01,2012-08-01,8/1/2013,Clothing and clothing accessories stores,50208000,50208000
September2013,2013-08-01,2012-09-01,9/1/2013,Clothing and clothing accessories stores,44546000,44546000
October2013,2013-09-01,2012-10-01,10/1/2013,Clothing and clothing accessories stores,44280000,44280000
November2013,2013-10-01,2012-11-01,11/1/2013,Clothing and clothing accessories stores,59856000,59856000
December2013,2013-11-01,2012-12-01,12/1/2013,Clothing and clothing accessories stores,85733000,85733000
January2014,2013-12-01,2013-01-01,1/1/2014,Clothing and clothing accessories stores,31551000,31551000
February2014,2014-01-01,2013-02-01,2/1/2014,Clothing and clothing accessories stores,31484000,31484000
March2014,2014-02-01,2013-03-01,3/1/2014,Clothing and clothing accessories stores,36659000,36659000
April2014,2014-03-01,2013-04-01,4/1/2014,Clothing and clothing accessories stores,39903000,39903000
May2014,2014-04-01,2013-05-01,5/1/2014,Clothing and clothing accessories stores,45983000,45983000
June2014,2014-05-01,2013-06-01,6/1/2014,Clothing and clothing accessories stores,43172000,43172000
July2014,2014-06-01,2013-07-01,7/1/2014,Clothing and clothing accessories stores,42655000,42655000
August2014,2014-07-01,2013-08-01,8/1/2014,Clothing and clothing accessories stores,50975000,50975000
September2014,2014-08-01,2013-09-01,9/1/2014,Clothing and clothing accessories stores,44781000,44781000
October2014,2014-09-01,2013-10-01,10/1/2014,Clothing and clothing accessories stores,45156000,45156000
November2014,2014-10-01,2013-11-01,11/1/2014,Clothing and clothing accessories stores,60811000,60811000
December2014,2014-11-01,2013-12-01,12/1/2014,Clothing and clothing accessories stores,87387000,87387000
January2015,2014-12-01,2014-01-01,1/1/2015,Clothing and clothing accessories stores,31941000,31941000
February2015,2015-01-01,2014-02-01,2/1/2015,Clothing and clothing accessories stores,28402000,28402000
March2015,2015-02-01,2014-03-01,3/1/2015,Clothing and clothing accessories stores,35354000,35354000
April2015,2015-03-01,2014-04-01,4/1/2015,Clothing and clothing accessories stores,42130000,42130000
May2015,2015-04-01,2014-05-01,5/1/2015,Clothing and clothing accessories stores,47062000,47062000
June2015,2015-05-01,2014-06-01,6/1/2015,Clothing and clothing accessories stores,43180000,43180000
July2015,2015-06-01,2014-07-01,7/1/2015,Clothing and clothing accessories stores,45786000,45786000
August2015,2015-07-01,2014-08-01,8/1/2015,Clothing and clothing accessories stores,50521000,50521000
September2015,2015-08-01,2014-09-01,9/1/2015,Clothing and clothing accessories stores,46287000,46287000
October2015,2015-09-01,2014-10-01,10/1/2015,Clothing and clothing accessories stores,49354000,49354000
November2015,2015-10-01,2014-11-01,11/1/2015,Clothing and clothing accessories stores,63249000,63249000
December2015,2015-11-01,2014-12-01,12/1/2015,Clothing and clothing accessories stores,90339000,90339000
January2016,2015-12-01,2015-01-01,1/1/2016,Clothing and clothing accessories stores,32711000,32711000
February2016,2016-01-01,2015-02-01,2/1/2016,Clothing and clothing accessories stores,33116000,33116000
March2016,2016-02-01,2015-03-01,3/1/2016,Clothing and clothing accessories stores,39438000,39438000
April2016,2016-03-01,2015-04-01,4/1/2016,Clothing and clothing accessories stores,44129000,44129000
May2016,2016-04-01,2015-05-01,5/1/2016,Clothing and clothing accessories stores,46015000,46015000
June2016,2016-05-01,2015-06-01,6/1/2016,Clothing and clothing accessories stores,45154000,45154000
July2016,2016-06-01,2015-07-01,7/1/2016,Clothing and clothing accessories stores,45911000,45911000
August2016,2016-07-01,2015-08-01,8/1/2016,Clothing and clothing accessories stores,51004000,51004000
September2016,2016-08-01,2015-09-01,9/1/2016,Clothing and clothing accessories stores,50339000,50339000
October2016,2016-09-01,2015-10-01,10/1/2016,Clothing and clothing accessories stores,48092000,48092000
November2016,2016-10-01,2015-11-01,11/1/2016,Clothing and clothing accessories stores,65821000,65821000
December2016,2016-11-01,2015-12-01,12/1/2016,Clothing and clothing accessories stores,89768000,89768000
January2017,2016-12-01,2016-01-01,1/1/2017,Clothing and clothing accessories stores,29888000,29888000
February2017,2017-01-01,2016-02-01,2/1/2017,Clothing and clothing accessories stores,30472000,30472000
March2017,2017-02-01,2016-03-01,3/1/2017,Clothing and clothing accessories stores,41465000,41465000
April2017,2017-03-01,2016-04-01,4/1/2017,Clothing and clothing accessories stores,43914000,43914000
May2017,2017-04-01,2016-05-01,5/1/2017,Clothing and clothing accessories stores,45399000,45399000
June2017,2017-05-01,2016-06-01,6/1/2017,Clothing and clothing accessories stores,46721000,46721000
July2017,2017-06-01,2016-07-01,7/1/2017,Clothing and clothing accessories stores,47322000,47322000
August2017,2017-07-01,2016-08-01,8/1/2017,Clothing and clothing accessories stores,52381000,52381000
September2017,2017-08-01,2016-09-01,9/1/2017,Clothing and clothing accessories stores,50636000,50636000
October2017,2017-09-01,2016-10-01,10/1/2017,Clothing and clothing accessories stores,47701000,47701000
November2017,2017-10-01,2016-11-01,11/1/2017,Clothing and clothing accessories stores,65626000,65626000
December2017,2017-11-01,2016-12-01,12/1/2017,Clothing and clothing accessories stores,91371000,91371000
January2018,2017-12-01,2017-01-01,1/1/2018,Clothing and clothing accessories stores,29840000,29840000
February2018,2018-01-01,2017-02-01,2/1/2018,Clothing and clothing accessories stores,34658000,34658000
March2018,2018-02-01,2017-03-01,3/1/2018,Clothing and clothing accessories stores,43466000,43466000
April2018,2018-03-01,2017-04-01,4/1/2018,Clothing and clothing accessories stores,41881000,41881000
May2018,2018-04-01,2017-05-01,5/1/2018,Clothing and clothing accessories stores,48220000,48220000
June2018,2018-05-01,2017-06-01,6/1/2018,Clothing and clothing accessories stores,49640000,49640000
July2018,2018-06-01,2017-07-01,7/1/2018,Clothing and clothing accessories stores,47879000,47879000
August2018,2018-07-01,2017-08-01,8/1/2018,Clothing and clothing accessories stores,56793000,56793000
September2018,2018-08-01,2017-09-01,9/1/2018,Clothing and clothing accessories stores,50200000,50200000
October2018,2018-09-01,2017-10-01,10/1/2018,Clothing and clothing accessories stores,50078000,50078000
November2018,2018-10-01,2017-11-01,11/1/2018,Clothing and clothing accessories stores,65251000,65251000
December2018,2018-11-01,2017-12-01,12/1/2018,Clothing and clothing accessories stores,85804000,85804000
January2019,2018-12-01,2018-01-01,1/1/2019,Clothing and clothing accessories stores,32791000,32791000
February2019,2019-01-01,2018-02-01,2/1/2019,Clothing and clothing accessories stores,32143000,32143000
March2019,2019-02-01,2018-03-01,3/1/2019,Clothing and clothing accessories stores,45167000,45167000
April2019,2019-03-01,2018-04-01,4/1/2019,Clothing and clothing accessories stores,41305000,41305000
May2019,2019-04-01,2018-05-01,5/1/2019,Clothing and clothing accessories stores,46355000,46355000
June2019,2019-05-01,2018-06-01,6/1/2019,Clothing and clothing accessories stores,49882000,49882000
July2019,2019-06-01,2018-07-01,7/1/2019,Clothing and clothing accessories stores,46882000,46882000
August2019,2019-07-01,2018-08-01,8/1/2019,Clothing and clothing accessories stores,56621000,56621000
September2019,2019-08-01,2018-09-01,9/1/2019,Clothing and clothing accessories stores,46666000,46666000
October2019,2019-09-01,2018-10-01,10/1/2019,Clothing and clothing accessories stores,51516000,51516000
November2019,2019-10-01,2018-11-01,11/1/2019,Clothing and clothing accessories stores,66912000,66912000
December2019,2019-11-01,2018-12-01,12/1/2019,Clothing and clothing accessories stores,86069000,86069000
January2020,2019-12-01,2019-01-01,1/1/2020,Clothing and clothing accessories stores,33280000,33280000
June2020,2020-05-01,2019-06-01,6/1/2020,Clothing and clothing accessories stores,42457000,42457000
July2020,2020-06-01,2019-07-01,7/1/2020,Clothing and clothing accessories stores,41290000,41290000
August2020,2020-07-01,2019-08-01,8/1/2020,Clothing and clothing accessories stores,46779000,46779000
September2020,2020-08-01,2019-09-01,9/1/2020,Clothing and clothing accessories stores,46048000,46048000
October2020,2020-09-01,2019-10-01,10/1/2020,Clothing and clothing accessories stores,48214000,48214000
November2020,2020-10-01,2019-11-01,11/1/2020,Clothing and clothing accessories stores,61450000,61450000
December2020,2020-11-01,2019-12-01,12/1/2020,Clothing and clothing accessories stores,64024000,64024000
January2021,2020-12-01,2020-01-01,1/1/2021,Clothing and clothing accessories stores,27035000,27035000
February2021,2021-01-01,2020-02-01,2/1/2021,Clothing and clothing accessories stores,28419000,28419000
March2021,2021-02-01,2020-03-01,3/1/2021,Clothing and clothing accessories stores,37231000,37231000
April2021,2021-03-01,2020-04-01,4/1/2021,Clothing and clothing accessories stores,31696000,31696000
June2021,2021-05-01,2020-06-01,6/1/2021,Clothing and clothing accessories stores,50285000,50285000
July2021,2021-06-01,2020-07-01,7/1/2021,Clothing and clothing accessories stores,48224000,48224000
August2021,2021-07-01,2020-08-01,8/1/2021,Clothing and clothing accessories stores,55061000,55061000
September2021,2021-08-01,2020-09-01,9/1/2021,Clothing and clothing accessories stores,50665000,50665000
January2004,2003-12-01,2003-01-01,1/1/2004,Electronics and appliance stores,14621000,14621000
February2004,2004-01-01,2003-02-01,2/1/2004,Electronics and appliance stores,12555000,12555000
June2004,2004-05-01,2003-06-01,6/1/2004,Electronics and appliance stores,16155000,16155000
August2004,2004-07-01,2003-08-01,8/1/2004,Electronics and appliance stores,18186000,18186000
September2004,2004-08-01,2003-09-01,9/1/2004,Electronics and appliance stores,18864000,18864000
October2004,2004-09-01,2003-10-01,10/1/2004,Electronics and appliance stores,17244000,17244000
November2004,2004-10-01,2003-11-01,11/1/2004,Electronics and appliance stores,21850000,21850000
December2004,2004-11-01,2003-12-01,12/1/2004,Electronics and appliance stores,36162000,36162000
January2005,2004-12-01,2004-01-01,1/1/2005,Electronics and appliance stores,15372000,15372000
February2005,2005-01-01,2004-02-01,2/1/2005,Electronics and appliance stores,14770000,14770000
March2005,2005-02-01,2004-03-01,3/1/2005,Electronics and appliance stores,17874000,17874000
April2005,2005-03-01,2004-04-01,4/1/2005,Electronics and appliance stores,17004000,17004000
June2005,2005-05-01,2004-06-01,6/1/2005,Electronics and appliance stores,18333000,18333000
August2005,2005-07-01,2004-08-01,8/1/2005,Electronics and appliance stores,19271000,19271000
December2005,2005-11-01,2004-12-01,12/1/2005,Electronics and appliance stores,40492000,40492000
December2006,2006-11-01,2005-12-01,12/1/2006,Electronics and appliance stores,43076000,43076000
December2007,2007-11-01,2006-12-01,12/1/2007,Electronics and appliance stores,48555000,48555000
August2008,2008-07-01,2007-08-01,8/1/2008,Electronics and appliance stores,26354000,26354000
September2008,2008-08-01,2007-09-01,9/1/2008,Electronics and appliance stores,24894000,24894000
October2008,2008-09-01,2007-10-01,10/1/2008,Electronics and appliance stores,22325000,22325000
November2008,2008-10-01,2007-11-01,11/1/2008,Electronics and appliance stores,28423000,28423000
December2008,2008-11-01,2007-12-01,12/1/2008,Electronics and appliance stores,52120000,52120000
January2009,2008-12-01,2008-01-01,1/1/2009,Electronics and appliance stores,22015000,22015000
February2009,2009-01-01,2008-02-01,2/1/2009,Electronics and appliance stores,19106000,19106000
March2009,2009-02-01,2008-03-01,3/1/2009,Electronics and appliance stores,21417000,21417000
April2009,2009-03-01,2008-04-01,4/1/2009,Electronics and appliance stores,20843000,20843000
May2009,2009-04-01,2008-05-01,5/1/2009,Electronics and appliance stores,21304000,21304000
June2009,2009-05-01,2008-06-01,6/1/2009,Electronics and appliance stores,23275000,23275000
July2009,2009-06-01,2008-07-01,7/1/2009,Electronics and appliance stores,23648000,23648000
August2009,2009-07-01,2008-08-01,8/1/2009,Electronics and appliance stores,23488000,23488000
September2009,2009-08-01,2008-09-01,9/1/2009,Electronics and appliance stores,24356000,24356000
October2009,2009-09-01,2008-10-01,10/1/2009,Electronics and appliance stores,23269000,23269000
November2009,2009-10-01,2008-11-01,11/1/2009,Electronics and appliance stores,28087000,28087000
December2009,2009-11-01,2008-12-01,12/1/2009,Electronics and appliance stores,54904000,54904000
January2010,2009-12-01,2009-01-01,1/1/2010,Electronics and appliance stores,25015000,25015000
February2010,2010-01-01,2009-02-01,2/1/2010,Electronics and appliance stores,20673000,20673000
March2010,2010-02-01,2009-03-01,3/1/2010,Electronics and appliance stores,23235000,23235000
April2010,2010-03-01,2009-04-01,4/1/2010,Electronics and appliance stores,23074000,23074000
May2010,2010-04-01,2009-05-01,5/1/2010,Electronics and appliance stores,23607000,23607000
June2010,2010-05-01,2009-06-01,6/1/2010,Electronics and appliance stores,25138000,25138000
July2010,2010-06-01,2009-07-01,7/1/2010,Electronics and appliance stores,24944000,24944000
August2010,2010-07-01,2009-08-01,8/1/2010,Electronics and appliance stores,25443000,25443000
September2010,2010-08-01,2009-09-01,9/1/2010,Electronics and appliance stores,26278000,26278000
October2010,2010-09-01,2009-10-01,10/1/2010,Electronics and appliance stores,25436000,25436000
November2010,2010-10-01,2009-11-01,11/1/2010,Electronics and appliance stores,29539000,29539000
December2010,2010-11-01,2009-12-01,12/1/2010,Electronics and appliance stores,56333000,56333000
January2011,2010-12-01,2010-01-01,1/1/2011,Electronics and appliance stores,22785000,22785000
February2011,2011-01-01,2010-02-01,2/1/2011,Electronics and appliance stores,19583000,19583000
March2011,2011-02-01,2010-03-01,3/1/2011,Electronics and appliance stores,23203000,23203000
April2011,2011-03-01,2010-04-01,4/1/2011,Electronics and appliance stores,22013000,22013000
May2011,2011-04-01,2010-05-01,5/1/2011,Electronics and appliance stores,22158000,22158000
June2011,2011-05-01,2010-06-01,6/1/2011,Electronics and appliance stores,22670000,22670000
July2011,2011-06-01,2010-07-01,7/1/2011,Electronics and appliance stores,22208000,22208000
August2011,2011-07-01,2010-08-01,8/1/2011,Electronics and appliance stores,23857000,23857000
September2011,2011-08-01,2010-09-01,9/1/2011,Electronics and appliance stores,24695000,24695000
October2011,2011-09-01,2010-10-01,10/1/2011,Electronics and appliance stores,22358000,22358000
November2011,2011-10-01,2010-11-01,11/1/2011,Electronics and appliance stores,26986000,26986000
December2011,2011-11-01,2010-12-01,12/1/2011,Electronics and appliance stores,50506000,50506000
January2012,2011-12-01,2011-01-01,1/1/2012,Electronics and appliance stores,17903000,17903000
February2012,2012-01-01,2011-02-01,2/1/2012,Electronics and appliance stores,16975000,16975000
March2012,2012-02-01,2011-03-01,3/1/2012,Electronics and appliance stores,19790000,19790000
April2012,2012-03-01,2011-04-01,4/1/2012,Electronics and appliance stores,17406000,17406000
May2012,2012-04-01,2011-05-01,5/1/2012,Electronics and appliance stores,18151000,18151000
June2012,2012-05-01,2011-06-01,6/1/2012,Electronics and appliance stores,19827000,19827000
July2012,2012-06-01,2011-07-01,7/1/2012,Electronics and appliance stores,18579000,18579000
August2012,2012-07-01,2011-08-01,8/1/2012,Electronics and appliance stores,23061000,23061000
September2012,2012-08-01,2011-09-01,9/1/2012,Electronics and appliance stores,22538000,22538000
October2012,2012-09-01,2011-10-01,10/1/2012,Electronics and appliance stores,20506000,20506000
November2012,2012-10-01,2011-11-01,11/1/2012,Electronics and appliance stores,28227000,28227000
December2012,2012-11-01,2011-12-01,12/1/2012,Electronics and appliance stores,42781000,42781000
January2013,2012-12-01,2012-01-01,1/1/2013,Electronics and appliance stores,18494000,18494000
February2013,2013-01-01,2012-02-01,2/1/2013,Electronics and appliance stores,16001000,16001000
April2013,2013-03-01,2012-04-01,4/1/2013,Electronics and appliance stores,18757000,18757000
May2013,2013-04-01,2012-05-01,5/1/2013,Electronics and appliance stores,19454000,19454000
June2013,2013-05-01,2012-06-01,6/1/2013,Electronics and appliance stores,18879000,18879000
July2013,2013-06-01,2012-07-01,7/1/2013,Electronics and appliance stores,19544000,19544000
August2013,2013-07-01,2012-08-01,8/1/2013,Electronics and appliance stores,22237000,22237000
September2013,2013-08-01,2012-09-01,9/1/2013,Electronics and appliance stores,20647000,20647000
November2013,2013-10-01,2012-11-01,11/1/2013,Electronics and appliance stores,25763000,25763000
December2013,2013-11-01,2012-12-01,12/1/2013,Electronics and appliance stores,36976000,36976000
January2014,2013-12-01,2013-01-01,1/1/2014,Electronics and appliance stores,15784000,15784000
February2014,2014-01-01,2013-02-01,2/1/2014,Electronics and appliance stores,14721000,14721000
April2014,2014-03-01,2013-04-01,4/1/2014,Electronics and appliance stores,16697000,16697000
May2014,2014-04-01,2013-05-01,5/1/2014,Electronics and appliance stores,16498000,16498000
July2014,2014-06-01,2013-07-01,7/1/2014,Electronics and appliance stores,17437000,17437000
August2014,2014-07-01,2013-08-01,8/1/2014,Electronics and appliance stores,19957000,19957000
September2014,2014-08-01,2013-09-01,9/1/2014,Electronics and appliance stores,19945000,19945000
October2014,2014-09-01,2013-10-01,10/1/2014,Electronics and appliance stores,18709000,18709000
November2014,2014-10-01,2013-11-01,11/1/2014,Electronics and appliance stores,23934000,23934000
December2014,2014-11-01,2013-12-01,12/1/2014,Electronics and appliance stores,33727000,33727000
January2015,2014-12-01,2014-01-01,1/1/2015,Electronics and appliance stores,13757000,13757000
February2015,2015-01-01,2014-02-01,2/1/2015,Electronics and appliance stores,12639000,12639000
March2015,2015-02-01,2014-03-01,3/1/2015,Electronics and appliance stores,15311000,15311000
April2015,2015-03-01,2014-04-01,4/1/2015,Electronics and appliance stores,12917000,12917000
May2015,2015-04-01,2014-05-01,5/1/2015,Electronics and appliance stores,12697000,12697000
June2015,2015-05-01,2014-06-01,6/1/2015,Electronics and appliance stores,14356000,14356000
August2015,2015-07-01,2014-08-01,8/1/2015,Electronics and appliance stores,17158000,17158000
September2015,2015-08-01,2014-09-01,9/1/2015,Electronics and appliance stores,17882000,17882000
October2015,2015-09-01,2014-10-01,10/1/2015,Electronics and appliance stores,15401000,15401000
November2015,2015-10-01,2014-11-01,11/1/2015,Electronics and appliance stores,20165000,20165000
December2015,2015-11-01,2014-12-01,12/1/2015,Electronics and appliance stores,28803000,28803000
January2016,2015-12-01,2015-01-01,1/1/2016,Electronics and appliance stores,11789000,11789000
February2016,2016-01-01,2015-02-01,2/1/2016,Electronics and appliance stores,12404000,12404000
March2016,2016-02-01,2015-03-01,3/1/2016,Electronics and appliance stores,14674000,14674000
April2016,2016-03-01,2015-04-01,4/1/2016,Electronics and appliance stores,13674000,13674000
May2016,2016-04-01,2015-05-01,5/1/2016,Electronics and appliance stores,12858000,12858000
June2016,2016-05-01,2015-06-01,6/1/2016,Electronics and appliance stores,14271000,14271000
August2016,2016-07-01,2015-08-01,8/1/2016,Electronics and appliance stores,15372000,15372000
September2016,2016-08-01,2015-09-01,9/1/2016,Electronics and appliance stores,17560000,17560000
October2016,2016-09-01,2015-10-01,10/1/2016,Electronics and appliance stores,13602000,13602000
November2016,2016-10-01,2015-11-01,11/1/2016,Electronics and appliance stores,19730000,19730000
February2018,2018-01-01,2017-02-01,2/1/2018,Electronics and appliance stores,11658000,11658000
March2018,2018-02-01,2017-03-01,3/1/2018,Electronics and appliance stores,13669000,13669000
April2018,2018-03-01,2017-04-01,4/1/2018,Electronics and appliance stores,12493000,12493000
June2018,2018-05-01,2017-06-01,6/1/2018,Electronics and appliance stores,12274000,12274000
July2018,2018-06-01,2017-07-01,7/1/2018,Electronics and appliance stores,13648000,13648000
August2018,2018-07-01,2017-08-01,8/1/2018,Electronics and appliance stores,17250000,17250000
September2018,2018-08-01,2017-09-01,9/1/2018,Electronics and appliance stores,16029000,16029000
November2018,2018-10-01,2017-11-01,11/1/2018,Electronics and appliance stores,22272000,22272000
December2018,2018-11-01,2017-12-01,12/1/2018,Electronics and appliance stores,28692000,28692000
January2019,2018-12-01,2018-01-01,1/1/2019,Electronics and appliance stores,11135000,11135000
February2019,2019-01-01,2018-02-01,2/1/2019,Electronics and appliance stores,8872000,8872000
March2019,2019-02-01,2018-03-01,3/1/2019,Electronics and appliance stores,11920000,11920000
April2019,2019-03-01,2018-04-01,4/1/2019,Electronics and appliance stores,12100000,12100000
June2019,2019-05-01,2018-06-01,6/1/2019,Electronics and appliance stores,12014000,12014000
July2019,2019-06-01,2018-07-01,7/1/2019,Electronics and appliance stores,11802000,11802000
August2019,2019-07-01,2018-08-01,8/1/2019,Electronics and appliance stores,16623000,16623000
September2019,2019-08-01,2018-09-01,9/1/2019,Electronics and appliance stores,14428000,14428000
October2019,2019-09-01,2018-10-01,10/1/2019,Electronics and appliance stores,12816000,12816000
November2019,2019-10-01,2018-11-01,11/1/2019,Electronics and appliance stores,22000000,22000000
December2019,2019-11-01,2018-12-01,12/1/2019,Electronics and appliance stores,25517000,25517000
January2020,2019-12-01,2019-01-01,1/1/2020,Electronics and appliance stores,11114000,11114000
February2020,2020-01-01,2019-02-01,2/1/2020,Electronics and appliance stores,9984000,9984000
March2020,2020-02-01,2019-03-01,3/1/2020,Electronics and appliance stores,9767000,9767000
May2020,2020-04-01,2019-05-01,5/1/2020,Electronics and appliance stores,8816000,8816000
June2020,2020-05-01,2019-06-01,6/1/2020,Electronics and appliance stores,13755000,13755000
July2020,2020-06-01,2019-07-01,7/1/2020,Electronics and appliance stores,14889000,14889000
September2020,2020-08-01,2019-09-01,9/1/2020,Electronics and appliance stores,17284000,17284000
October2020,2020-09-01,2019-10-01,10/1/2020,Electronics and appliance stores,18011000,18011000
November2020,2020-10-01,2019-11-01,11/1/2020,Electronics and appliance stores,26844000,26844000
December2020,2020-11-01,2019-12-01,12/1/2020,Electronics and appliance stores,28984000,28984000
January2021,2020-12-01,2020-01-01,1/1/2021,Electronics and appliance stores,14815000,14815000
February2021,2021-01-01,2020-02-01,2/1/2021,Electronics and appliance stores,14294000,14294000
April2021,2021-03-01,2020-04-01,4/1/2021,Electronics and appliance stores,14739000,14739000
May2021,2021-04-01,2020-05-01,5/1/2021,Electronics and appliance stores,11920000,11920000
June2021,2021-05-01,2020-06-01,6/1/2021,Electronics and appliance stores,17649000,17649000
July2021,2021-06-01,2020-07-01,7/1/2021,Electronics and appliance stores,17285000,17285000
August2021,2021-07-01,2020-08-01,8/1/2021,Electronics and appliance stores,18234000,18234000
September2021,2021-08-01,2020-09-01,9/1/2021,Electronics and appliance stores,20153000,20153000
January2004,2003-12-01,2003-01-01,1/1/2004,Food and beverage stores,225640000,225640000
February2004,2004-01-01,2003-02-01,2/1/2004,Food and beverage stores,201958000,201958000
March2004,2004-02-01,2003-03-01,3/1/2004,Food and beverage stores,213128000,213128000
April2004,2004-03-01,2003-04-01,4/1/2004,Food and beverage stores,225675000,225675000
May2004,2004-04-01,2003-05-01,5/1/2004,Food and beverage stores,229457000,229457000
June2004,2004-05-01,2003-06-01,6/1/2004,Food and beverage stores,235033000,235033000
July2004,2004-06-01,2003-07-01,7/1/2004,Food and beverage stores,265989000,265989000
August2004,2004-07-01,2003-08-01,8/1/2004,Food and beverage stores,236835000,236835000
September2004,2004-08-01,2003-09-01,9/1/2004,Food and beverage stores,231886000,231886000
October2004,2004-09-01,2003-10-01,10/1/2004,Food and beverage stores,235590000,235590000
November2004,2004-10-01,2003-11-01,11/1/2004,Food and beverage stores,217879000,217879000
January2005,2004-12-01,2004-01-01,1/1/2005,Food and beverage stores,225251000,225251000
February2005,2005-01-01,2004-02-01,2/1/2005,Food and beverage stores,212200000,212200000
March2005,2005-02-01,2004-03-01,3/1/2005,Food and beverage stores,234342000,234342000
April2005,2005-03-01,2004-04-01,4/1/2005,Food and beverage stores,240835000,240835000
May2005,2005-04-01,2004-05-01,5/1/2005,Food and beverage stores,239965000,239965000
