_previousMonth,_previousYear,Business dynamics measure,Date,Industry,_activeBusinesses,_businessCounts,_valueConnector,Value
2020-09-01,2019-10-01,Continuing businesses,2020-10-01,Business sector industries [T004],,,,9138
2020-10-01,2019-11-01,Continuing businesses,2020-11-01,Business sector industries [T004],,,,9195
2020-11-01,2019-12-01,Continuing businesses,2020-12-01,Business sector industries [T004],,,,9287
2020-12-01,2020-01-01,Continuing businesses,2021-01-01,Business sector industries [T004],,,,9365
2021-01-01,2020-02-01,Continuing businesses,2021-02-01,Business sector industries [T004],,,,9432
2020-03-01,2019-04-01,Opening businesses,2020-04-01,Business sector industries [T004],,314,,314
2020-04-01,2019-05-01,Opening businesses,2020-05-01,Business sector industries [T004],,355,,355
2020-06-01,2019-07-01,Opening businesses,2020-07-01,Business sector industries [T004],,568,,568
2020-07-01,2019-08-01,Opening businesses,2020-08-01,Business sector industries [T004],,532,,532
2020-08-01,2019-09-01,Opening businesses,2020-09-01,Business sector industries [T004],,473,,473
2020-09-01,2019-10-01,Opening businesses,2020-10-01,Business sector industries [T004],,433,,433
2020-10-01,2019-11-01,Opening businesses,2020-11-01,Business sector industries [T004],,446,,446
2020-11-01,2019-12-01,Opening businesses,2020-12-01,Business sector industries [T004],,438,,438
2020-12-01,2020-01-01,Opening businesses,2021-01-01,Business sector industries [T004],,434,,434
2021-01-01,2020-02-01,Opening businesses,2021-02-01,Business sector industries [T004],,421,,421
2019-07-01,2018-08-01,Reopening businesses,2019-08-01,Business sector industries [T004],,,,
2019-08-01,2018-09-01,Reopening businesses,2019-09-01,Business sector industries [T004],,,,
2019-09-01,2018-10-01,Reopening businesses,2019-10-01,Business sector industries [T004],,,,
2019-10-01,2018-11-01,Reopening businesses,2019-11-01,Business sector industries [T004],,,,
2019-11-01,2018-12-01,Reopening businesses,2019-12-01,Business sector industries [T004],,,,
2019-12-01,2019-01-01,Reopening businesses,2020-01-01,Business sector industries [T004],,,,
2020-01-01,2019-02-01,Reopening businesses,2020-02-01,Business sector industries [T004],,,,
2020-02-01,2019-03-01,Reopening businesses,2020-03-01,Business sector industries [T004],,,,
2019-05-01,2018-06-01,Temporary closures,2019-06-01,Business sector industries [T004],,,,
2019-06-01,2018-07-01,Temporary closures,2019-07-01,Business sector industries [T004],,,,
2019-07-01,2018-08-01,Temporary closures,2019-08-01,Business sector industries [T004],,,,
2019-08-01,2018-09-01,Temporary closures,2019-09-01,Business sector industries [T004],,,,
2019-09-01,2018-10-01,Temporary closures,2019-10-01,Business sector industries [T004],,,,
2019-10-01,2018-11-01,Temporary closures,2019-11-01,Business sector industries [T004],,,,
2019-11-01,2018-12-01,Temporary closures,2019-12-01,Business sector industries [T004],,,,
2019-12-01,2019-01-01,Temporary closures,2020-01-01,Business sector industries [T004],,,,
2020-01-01,2019-02-01,Temporary closures,2020-02-01,Business sector industries [T004],,,,
2020-02-01,2019-03-01,Temporary closures,2020-03-01,Business sector industries [T004],,,,
2021-07-01,2020-08-01,Exits,2021-08-01,Business sector industries [T004],,,,
2020-11-01,2019-12-01,Entrants,2020-12-01,Business sector industries [T004],,,,
2019-05-01,2018-06-01,Reopening businesses,2019-06-01,Business sector industries [T004],,,,
2019-06-01,2018-07-01,Reopening businesses,2019-07-01,Business sector industries [T004],,,,
2020-05-01,2019-06-01,Active businesses,2020-06-01,Business sector industries [T004],8990,,8990,8990
2020-03-01,2019-04-01,Continuing businesses,2020-04-01,Business sector industries [T004],,,,8683
2020-05-01,2019-06-01,Continuing businesses,2020-06-01,Business sector industries [T004],,,,8183
2019-12-01,2019-01-01,Active businesses,2020-01-01,Business sector industries [T004],9727,,9727,9727
2019-12-01,2019-01-01,Closing businesses,2020-01-01,Business sector industries [T004],,-370,,370
2018-06-01,2017-07-01,Active businesses,2018-07-01,Business sector industries [T004],9620,,9620,9620
2018-07-01,2017-08-01,Active businesses,2018-08-01,Business sector industries [T004],9634,,9634,9634
2018-08-01,2017-09-01,Active businesses,2018-09-01,Business sector industries [T004],9663,,9663,9663
2018-09-01,2017-10-01,Active businesses,2018-10-01,Business sector industries [T004],9679,,9679,9679
2018-10-01,2017-11-01,Active businesses,2018-11-01,Business sector industries [T004],9704,,9704,9704
2018-11-01,2017-12-01,Active businesses,2018-12-01,Business sector industries [T004],9694,,9694,9694
2018-12-01,2018-01-01,Active businesses,2019-01-01,Business sector industries [T004],9644,,9644,9644
2019-01-01,2018-02-01,Active businesses,2019-02-01,Business sector industries [T004],9701,,9701,9701
2019-02-01,2018-03-01,Active businesses,2019-03-01,Business sector industries [T004],9692,,9692,9692
2019-03-01,2018-04-01,Active businesses,2019-04-01,Business sector industries [T004],9719,,9719,9719
2019-04-01,2018-05-01,Active businesses,2019-05-01,Business sector industries [T004],9763,,9763,9763
2018-06-01,2017-07-01,Closing businesses,2018-07-01,Business sector industries [T004],,-364,,364
2018-07-01,2017-08-01,Closing businesses,2018-08-01,Business sector industries [T004],,-387,,387
2018-08-01,2017-09-01,Closing businesses,2018-09-01,Business sector industries [T004],,-387,,387
2018-09-01,2017-10-01,Closing businesses,2018-10-01,Business sector industries [T004],,-367,,367
2018-10-01,2017-11-01,Closing businesses,2018-11-01,Business sector industries [T004],,-432,,432
2018-11-01,2017-12-01,Closing businesses,2018-12-01,Business sector industries [T004],,-371,,371
2018-12-01,2018-01-01,Closing businesses,2019-01-01,Business sector industries [T004],,-391,,391
2019-01-01,2018-02-01,Closing businesses,2019-02-01,Business sector industries [T004],,-359,,359
2019-02-01,2018-03-01,Closing businesses,2019-03-01,Business sector industries [T004],,-370,,370
2019-03-01,2018-04-01,Closing businesses,2019-04-01,Business sector industries [T004],,-356,,356
2019-04-01,2018-05-01,Closing businesses,2019-05-01,Business sector industries [T004],,-370,,370
2018-06-01,2017-07-01,Continuing businesses,2018-07-01,Business sector industries [T004],,,,9271
2018-07-01,2017-08-01,Continuing businesses,2018-08-01,Business sector industries [T004],,,,9263
2018-08-01,2017-09-01,Continuing businesses,2018-09-01,Business sector industries [T004],,,,9241
2018-09-01,2017-10-01,Continuing businesses,2018-10-01,Business sector industries [T004],,,,9283
2018-10-01,2017-11-01,Continuing businesses,2018-11-01,Business sector industries [T004],,,,9283
2018-11-01,2017-12-01,Continuing businesses,2018-12-01,Business sector industries [T004],,,,9305
2018-12-01,2018-01-01,Continuing businesses,2019-01-01,Business sector industries [T004],,,,9299
2019-01-01,2018-02-01,Continuing businesses,2019-02-01,Business sector industries [T004],,,,9307
2019-02-01,2018-03-01,Continuing businesses,2019-03-01,Business sector industries [T004],,,,9324
2019-03-01,2018-04-01,Continuing businesses,2019-04-01,Business sector industries [T004],,,,9306
2019-04-01,2018-05-01,Continuing businesses,2019-05-01,Business sector industries [T004],,,,9376
2018-06-01,2017-07-01,Opening businesses,2018-07-01,Business sector industries [T004],,347,,347
2018-07-01,2017-08-01,Opening businesses,2018-08-01,Business sector industries [T004],,378,,378
2018-08-01,2017-09-01,Opening businesses,2018-09-01,Business sector industries [T004],,448,,448
2018-09-01,2017-10-01,Opening businesses,2018-10-01,Business sector industries [T004],,392,,392
2018-10-01,2017-11-01,Opening businesses,2018-11-01,Business sector industries [T004],,404,,404
2018-11-01,2017-12-01,Opening businesses,2018-12-01,Business sector industries [T004],,403,,403
2018-12-01,2018-01-01,Opening businesses,2019-01-01,Business sector industries [T004],,369,,369
2019-01-01,2018-02-01,Opening businesses,2019-02-01,Business sector industries [T004],,388,,388
2019-02-01,2018-03-01,Opening businesses,2019-03-01,Business sector industries [T004],,364,,364
2019-03-01,2018-04-01,Opening businesses,2019-04-01,Business sector industries [T004],,381,,381
2019-04-01,2018-05-01,Opening businesses,2019-05-01,Business sector industries [T004],,391,,391
2018-06-01,2017-07-01,Entrants,2018-07-01,Business sector industries [T004],,,,
2018-07-01,2017-08-01,Entrants,2018-08-01,Business sector industries [T004],,,,
2018-08-01,2017-09-01,Entrants,2018-09-01,Business sector industries [T004],,,,
2018-09-01,2017-10-01,Entrants,2018-10-01,Business sector industries [T004],,,,
2018-10-01,2017-11-01,Entrants,2018-11-01,Business sector industries [T004],,,,
2018-11-01,2017-12-01,Entrants,2018-12-01,Business sector industries [T004],,,,
2018-12-01,2018-01-01,Entrants,2019-01-01,Business sector industries [T004],,,,
2019-01-01,2018-02-01,Entrants,2019-02-01,Business sector industries [T004],,,,
2019-02-01,2018-03-01,Entrants,2019-03-01,Business sector industries [T004],,,,
2019-03-01,2018-04-01,Entrants,2019-04-01,Business sector industries [T004],,,,
2019-04-01,2018-05-01,Entrants,2019-05-01,Business sector industries [T004],,,,
2018-06-01,2017-07-01,Exits,2018-07-01,Business sector industries [T004],,,,
2018-07-01,2017-08-01,Exits,2018-08-01,Business sector industries [T004],,,,
2018-08-01,2017-09-01,Exits,2018-09-01,Business sector industries [T004],,,,
2018-09-01,2017-10-01,Exits,2018-10-01,Business sector industries [T004],,,,
2018-10-01,2017-11-01,Exits,2018-11-01,Business sector industries [T004],,,,
2018-11-01,2017-12-01,Exits,2018-12-01,Business sector industries [T004],,,,
2018-12-01,2018-01-01,Exits,2019-01-01,Business sector industries [T004],,,,
2019-01-01,2018-02-01,Exits,2019-02-01,Business sector industries [T004],,,,
2019-02-01,2018-03-01,Exits,2019-03-01,Business sector industries [T004],,,,
2019-03-01,2018-04-01,Exits,2019-04-01,Business sector industries [T004],,,,
2019-04-01,2018-05-01,Exits,2019-05-01,Business sector industries [T004],,,,
2018-06-01,2017-07-01,Reopening businesses,2018-07-01,Business sector industries [T004],,,,
2018-07-01,2017-08-01,Reopening businesses,2018-08-01,Business sector industries [T004],,,,
2018-08-01,2017-09-01,Reopening businesses,2018-09-01,Business sector industries [T004],,,,
2018-09-01,2017-10-01,Reopening businesses,2018-10-01,Business sector industries [T004],,,,
2018-10-01,2017-11-01,Reopening businesses,2018-11-01,Business sector industries [T004],,,,
2018-11-01,2017-12-01,Reopening businesses,2018-12-01,Business sector industries [T004],,,,
2018-12-01,2018-01-01,Reopening businesses,2019-01-01,Business sector industries [T004],,,,
2019-01-01,2018-02-01,Reopening businesses,2019-02-01,Business sector industries [T004],,,,
2019-02-01,2018-03-01,Reopening businesses,2019-03-01,Business sector industries [T004],,,,
2019-03-01,2018-04-01,Reopening businesses,2019-04-01,Business sector industries [T004],,,,
2019-04-01,2018-05-01,Reopening businesses,2019-05-01,Business sector industries [T004],,,,
2018-06-01,2017-07-01,Temporary closures,2018-07-01,Business sector industries [T004],,,,
2018-07-01,2017-08-01,Temporary closures,2018-08-01,Business sector industries [T004],,,,
2018-08-01,2017-09-01,Temporary closures,2018-09-01,Business sector industries [T004],,,,
2018-09-01,2017-10-01,Temporary closures,2018-10-01,Business sector industries [T004],,,,
2018-10-01,2017-11-01,Temporary closures,2018-11-01,Business sector industries [T004],,,,
2018-11-01,2017-12-01,Temporary closures,2018-12-01,Business sector industries [T004],,,,
2018-12-01,2018-01-01,Temporary closures,2019-01-01,Business sector industries [T004],,,,
2019-01-01,2018-02-01,Temporary closures,2019-02-01,Business sector industries [T004],,,,
2019-02-01,2018-03-01,Temporary closures,2019-03-01,Business sector industries [T004],,,,
2019-03-01,2018-04-01,Temporary closures,2019-04-01,Business sector industries [T004],,,,
2019-04-01,2018-05-01,Temporary closures,2019-05-01,Business sector industries [T004],,,,
2017-10-01,2016-11-01,Active businesses,2017-11-01,Business sector industries [T004],9473,,9473,9473
2017-11-01,2016-12-01,Active businesses,2017-12-01,Business sector industries [T004],9494,,9494,9494
2017-12-01,2017-01-01,Active businesses,2018-01-01,Business sector industries [T004],9510,,9510,9510
2018-01-01,2017-02-01,Active businesses,2018-02-01,Business sector industries [T004],9513,,9513,9513
2018-02-01,2017-03-01,Active businesses,2018-03-01,Business sector industries [T004],9544,,9544,9544
2018-03-01,2017-04-01,Active businesses,2018-04-01,Business sector industries [T004],9561,,9561,9561
2018-04-01,2017-05-01,Active businesses,2018-05-01,Business sector industries [T004],9583,,9583,9583
2018-05-01,2017-06-01,Active businesses,2018-06-01,Business sector industries [T004],9622,,9622,9622
2017-08-01,2016-09-01,Closing businesses,2017-09-01,Business sector industries [T004],,-344,,344
2017-09-01,2016-10-01,Closing businesses,2017-10-01,Business sector industries [T004],,-369,,369
2017-10-01,2016-11-01,Closing businesses,2017-11-01,Business sector industries [T004],,-324,,324
2017-11-01,2016-12-01,Closing businesses,2017-12-01,Business sector industries [T004],,-337,,337
2017-12-01,2017-01-01,Closing businesses,2018-01-01,Business sector industries [T004],,-355,,355
2018-01-01,2017-02-01,Closing businesses,2018-02-01,Business sector industries [T004],,-384,,384
2018-02-01,2017-03-01,Closing businesses,2018-03-01,Business sector industries [T004],,-356,,356
2018-03-01,2017-04-01,Closing businesses,2018-04-01,Business sector industries [T004],,-361,,361
2018-04-01,2017-05-01,Closing businesses,2018-05-01,Business sector industries [T004],,-335,,335
2018-05-01,2017-06-01,Closing businesses,2018-06-01,Business sector industries [T004],,-342,,342
2017-08-01,2016-09-01,Continuing businesses,2017-09-01,Business sector industries [T004],,,,9158
2017-09-01,2016-10-01,Continuing businesses,2017-10-01,Business sector industries [T004],,,,9185
2017-10-01,2016-11-01,Continuing businesses,2017-11-01,Business sector industries [T004],,,,9185
2017-11-01,2016-12-01,Continuing businesses,2017-12-01,Business sector industries [T004],,,,9142
2017-12-01,2017-01-01,Continuing businesses,2018-01-01,Business sector industries [T004],,,,9128
2018-01-01,2017-02-01,Continuing businesses,2018-02-01,Business sector industries [T004],,,,9141
