_comparatorDate,_labourCategory,_previousMonth,_previousYear,Age group,Date,Labour force characteristics,Sex,_valueConnector,Value
April 2006,F,2007-03-01,2006-04-01,15 to 24 years,2007-04-01,Participation Rate,Females,73,73
March 2005,F,2006-02-01,2005-03-01,15 to 24 years,2006-03-01,Unemployment Rate,Females,8.7,8.7
April 2005,F,2006-03-01,2005-04-01,15 to 24 years,2006-04-01,Unemployment Rate,Females,8.3,8.3
May 2005,F,2006-04-01,2005-05-01,15 to 24 years,2006-05-01,Unemployment Rate,Females,10,10
June 2005,F,2006-05-01,2005-06-01,15 to 24 years,2006-06-01,Unemployment Rate,Females,9.4,9.4
July 2005,F,2006-06-01,2005-07-01,15 to 24 years,2006-07-01,Unemployment Rate,Females,9.3,9.3
August 2005,F,2006-07-01,2005-08-01,15 to 24 years,2006-08-01,Unemployment Rate,Females,7,7
September 2005,F,2006-08-01,2005-09-01,15 to 24 years,2006-09-01,Unemployment Rate,Females,8.5,8.5
October 2005,F,2006-09-01,2005-10-01,15 to 24 years,2006-10-01,Unemployment Rate,Females,8.7,8.7
November 2005,F,2006-10-01,2005-11-01,15 to 24 years,2006-11-01,Unemployment Rate,Females,8.3,8.3
December 2005,F,2006-11-01,2005-12-01,15 to 24 years,2006-12-01,Unemployment Rate,Females,6.4,6.4
January 2006,F,2006-12-01,2006-01-01,15 to 24 years,2007-01-01,Unemployment Rate,Females,5.8,5.8
February 2006,F,2007-01-01,2006-02-01,15 to 24 years,2007-02-01,Unemployment Rate,Females,6.1,6.1
March 2006,F,2007-02-01,2006-03-01,15 to 24 years,2007-03-01,Unemployment Rate,Females,6,6
April 2006,F,2007-03-01,2006-04-01,15 to 24 years,2007-04-01,Unemployment Rate,Females,5.8,5.8
March 2005,F,2006-02-01,2005-03-01,All working ages (15+),2006-03-01,Participation Rate,Females,62.6,62.6
April 2005,F,2006-03-01,2005-04-01,All working ages (15+),2006-04-01,Participation Rate,Females,63.2,63.2
May 2005,F,2006-04-01,2005-05-01,All working ages (15+),2006-05-01,Participation Rate,Females,64.5,64.5
June 2005,F,2006-05-01,2005-06-01,All working ages (15+),2006-06-01,Participation Rate,Females,65.9,65.9
July 2005,F,2006-06-01,2005-07-01,All working ages (15+),2006-07-01,Participation Rate,Females,66.7,66.7
August 2005,F,2006-07-01,2005-08-01,All working ages (15+),2006-08-01,Participation Rate,Females,66.6,66.6
September 2005,F,2006-08-01,2005-09-01,All working ages (15+),2006-09-01,Participation Rate,Females,65.2,65.2
October 2005,F,2006-09-01,2005-10-01,All working ages (15+),2006-10-01,Participation Rate,Females,64.3,64.3
November 2005,F,2006-10-01,2005-11-01,All working ages (15+),2006-11-01,Participation Rate,Females,63.8,63.8
December 2005,F,2006-11-01,2005-12-01,All working ages (15+),2006-12-01,Participation Rate,Females,64.5,64.5
January 2006,F,2006-12-01,2006-01-01,All working ages (15+),2007-01-01,Participation Rate,Females,64.9,64.9
February 2006,F,2007-01-01,2006-02-01,All working ages (15+),2007-02-01,Participation Rate,Females,65.3,65.3
March 2006,F,2007-02-01,2006-03-01,All working ages (15+),2007-03-01,Participation Rate,Females,65.4,65.4
April 2006,F,2007-03-01,2006-04-01,All working ages (15+),2007-04-01,Participation Rate,Females,65.8,65.8
March 2005,F,2006-02-01,2005-03-01,All working ages (15+),2006-03-01,Unemployment Rate,Females,5.4,5.4
April 2005,F,2006-03-01,2005-04-01,All working ages (15+),2006-04-01,Unemployment Rate,Females,4.8,4.8
May 2005,F,2006-04-01,2005-05-01,All working ages (15+),2006-05-01,Unemployment Rate,Females,4.7,4.7
June 2005,F,2006-05-01,2005-06-01,All working ages (15+),2006-06-01,Unemployment Rate,Females,4.4,4.4
July 2005,F,2006-06-01,2005-07-01,All working ages (15+),2006-07-01,Unemployment Rate,Females,4.9,4.9
August 2005,F,2006-07-01,2005-08-01,All working ages (15+),2006-08-01,Unemployment Rate,Females,5.2,5.2
September 2005,F,2006-08-01,2005-09-01,All working ages (15+),2006-09-01,Unemployment Rate,Females,5.7,5.7
October 2005,F,2006-09-01,2005-10-01,All working ages (15+),2006-10-01,Unemployment Rate,Females,5.2,5.2
November 2005,F,2006-10-01,2005-11-01,All working ages (15+),2006-11-01,Unemployment Rate,Females,4.3,4.3
December 2005,F,2006-11-01,2005-12-01,All working ages (15+),2006-12-01,Unemployment Rate,Females,3.7,3.7
January 2006,F,2006-12-01,2006-01-01,All working ages (15+),2007-01-01,Unemployment Rate,Females,3.7,3.7
February 2006,F,2007-01-01,2006-02-01,All working ages (15+),2007-02-01,Unemployment Rate,Females,3.7,3.7
March 2006,F,2007-02-01,2006-03-01,All working ages (15+),2007-03-01,Unemployment Rate,Females,4.1,4.1
April 2006,F,2007-03-01,2006-04-01,All working ages (15+),2007-04-01,Unemployment Rate,Females,4.2,4.2
March 2005,F,2006-02-01,2005-03-01,25 to 54 years,2006-03-01,Participation Rate,Females,83.6,83.6
April 2005,F,2006-03-01,2005-04-01,25 to 54 years,2006-04-01,Participation Rate,Females,83.8,83.8
May 2005,F,2006-04-01,2005-05-01,25 to 54 years,2006-05-01,Participation Rate,Females,83.6,83.6
June 2005,F,2006-05-01,2005-06-01,25 to 54 years,2006-06-01,Participation Rate,Females,84,84
July 2005,F,2006-06-01,2005-07-01,25 to 54 years,2006-07-01,Participation Rate,Females,83,83
August 2005,F,2006-07-01,2005-08-01,25 to 54 years,2006-08-01,Participation Rate,Females,82.9,82.9
September 2005,F,2006-08-01,2005-09-01,25 to 54 years,2006-09-01,Participation Rate,Females,82.7,82.7
October 2005,F,2006-09-01,2005-10-01,25 to 54 years,2006-10-01,Participation Rate,Females,83,83
November 2005,F,2006-10-01,2005-11-01,25 to 54 years,2006-11-01,Participation Rate,Females,83.3,83.3
December 2005,F,2006-11-01,2005-12-01,25 to 54 years,2006-12-01,Participation Rate,Females,83.1,83.1
January 2006,F,2006-12-01,2006-01-01,25 to 54 years,2007-01-01,Participation Rate,Females,83.7,83.7
February 2006,F,2007-01-01,2006-02-01,25 to 54 years,2007-02-01,Participation Rate,Females,83.8,83.8
March 2006,F,2007-02-01,2006-03-01,25 to 54 years,2007-03-01,Participation Rate,Females,84.2,84.2
April 2006,F,2007-03-01,2006-04-01,25 to 54 years,2007-04-01,Participation Rate,Females,83.7,83.7
March 2005,F,2006-02-01,2005-03-01,25 to 54 years,2006-03-01,Unemployment Rate,Females,4.8,4.8
April 2005,F,2006-03-01,2005-04-01,25 to 54 years,2006-04-01,Unemployment Rate,Females,4.2,4.2
May 2005,F,2006-04-01,2005-05-01,25 to 54 years,2006-05-01,Unemployment Rate,Females,3.6,3.6
June 2005,F,2006-05-01,2005-06-01,25 to 54 years,2006-06-01,Unemployment Rate,Females,3.6,3.6
July 2005,F,2006-06-01,2005-07-01,25 to 54 years,2006-07-01,Unemployment Rate,Females,4,4
August 2005,F,2006-07-01,2005-08-01,25 to 54 years,2006-08-01,Unemployment Rate,Females,5,5
September 2005,F,2006-08-01,2005-09-01,25 to 54 years,2006-09-01,Unemployment Rate,Females,5,5
October 2005,F,2006-09-01,2005-10-01,25 to 54 years,2006-10-01,Unemployment Rate,Females,4.2,4.2
November 2005,F,2006-10-01,2005-11-01,25 to 54 years,2006-11-01,Unemployment Rate,Females,3.1,3.1
December 2005,F,2006-11-01,2005-12-01,25 to 54 years,2006-12-01,Unemployment Rate,Females,2.7,2.7
January 2006,F,2006-12-01,2006-01-01,25 to 54 years,2007-01-01,Unemployment Rate,Females,2.9,2.9
February 2006,F,2007-01-01,2006-02-01,25 to 54 years,2007-02-01,Unemployment Rate,Females,3,3
March 2006,F,2007-02-01,2006-03-01,25 to 54 years,2007-03-01,Unemployment Rate,Females,3.7,3.7
April 2006,F,2007-03-01,2006-04-01,25 to 54 years,2007-04-01,Unemployment Rate,Females,3.8,3.8
March 2005,F,2006-02-01,2005-03-01,55 years and over,2006-03-01,Participation Rate,Females,23.4,23.4
April 2005,F,2006-03-01,2005-04-01,55 years and over,2006-04-01,Participation Rate,Females,24,24
May 2005,F,2006-04-01,2005-05-01,55 years and over,2006-05-01,Participation Rate,Females,24.6,24.6
June 2005,F,2006-05-01,2005-06-01,55 years and over,2006-06-01,Participation Rate,Females,24.8,24.8
July 2005,F,2006-06-01,2005-07-01,55 years and over,2006-07-01,Participation Rate,Females,24.5,24.5
August 2005,F,2006-07-01,2005-08-01,55 years and over,2006-08-01,Participation Rate,Females,23.6,23.6
September 2005,F,2006-08-01,2005-09-01,55 years and over,2006-09-01,Participation Rate,Females,22.6,22.6
October 2005,F,2006-09-01,2005-10-01,55 years and over,2006-10-01,Participation Rate,Females,22.7,22.7
November 2005,F,2006-10-01,2005-11-01,55 years and over,2006-11-01,Participation Rate,Females,23.5,23.5
December 2005,F,2006-11-01,2005-12-01,55 years and over,2006-12-01,Participation Rate,Females,25.2,25.2
January 2006,F,2006-12-01,2006-01-01,55 years and over,2007-01-01,Participation Rate,Females,26,26
February 2006,F,2007-01-01,2006-02-01,55 years and over,2007-02-01,Participation Rate,Females,27.2,27.2
March 2006,F,2007-02-01,2006-03-01,55 years and over,2007-03-01,Participation Rate,Females,28.4,28.4
April 2006,F,2007-03-01,2006-04-01,55 years and over,2007-04-01,Participation Rate,Females,29.5,29.5
September 2005,F,2006-08-01,2005-09-01,55 years and over,2006-09-01,Unemployment Rate,Females,5.1,5.1
October 2005,F,2006-09-01,2005-10-01,55 years and over,2006-10-01,Unemployment Rate,Females,5.9,5.9
November 2005,F,2006-10-01,2005-11-01,55 years and over,2006-11-01,Unemployment Rate,Females,7.4,7.4
December 2005,F,2006-11-01,2005-12-01,55 years and over,2006-12-01,Unemployment Rate,Females,5.9,5.9
January 2006,F,2006-12-01,2006-01-01,55 years and over,2007-01-01,Unemployment Rate,Females,4.9,4.9
February 2006,F,2007-01-01,2006-02-01,55 years and over,2007-02-01,Unemployment Rate,Females,3.8,3.8
April 2006,F,2007-03-01,2006-04-01,55 years and over,2007-04-01,Unemployment Rate,Females,3.5,3.5
March 2005,M,2006-02-01,2005-03-01,15 to 24 years,2006-03-01,Participation Rate,Males,65.6,65.6
April 2005,M,2006-03-01,2005-04-01,15 to 24 years,2006-04-01,Participation Rate,Males,67.2,67.2
May 2005,M,2006-04-01,2005-05-01,15 to 24 years,2006-05-01,Participation Rate,Males,69.7,69.7
June 2005,M,2006-05-01,2005-06-01,15 to 24 years,2006-06-01,Participation Rate,Males,70.5,70.5
July 2005,M,2006-06-01,2005-07-01,15 to 24 years,2006-07-01,Participation Rate,Males,72.9,72.9
August 2005,M,2006-07-01,2005-08-01,15 to 24 years,2006-08-01,Participation Rate,Males,75.1,75.1
September 2005,M,2006-08-01,2005-09-01,15 to 24 years,2006-09-01,Participation Rate,Males,73.1,73.1
October 2005,M,2006-09-01,2005-10-01,15 to 24 years,2006-10-01,Participation Rate,Males,69.5,69.5
November 2005,M,2006-10-01,2005-11-01,15 to 24 years,2006-11-01,Participation Rate,Males,65,65
December 2005,M,2006-11-01,2005-12-01,15 to 24 years,2006-12-01,Participation Rate,Males,65.3,65.3
January 2006,M,2006-12-01,2006-01-01,15 to 24 years,2007-01-01,Participation Rate,Males,63.9,63.9
February 2006,M,2007-01-01,2006-02-01,15 to 24 years,2007-02-01,Participation Rate,Males,61.8,61.8
March 2006,M,2007-02-01,2006-03-01,15 to 24 years,2007-03-01,Participation Rate,Males,61.9,61.9
April 2006,M,2007-03-01,2006-04-01,15 to 24 years,2007-04-01,Participation Rate,Males,63.7,63.7
March 2005,M,2006-02-01,2005-03-01,15 to 24 years,2006-03-01,Unemployment Rate,Males,11.8,11.8
April 2005,M,2006-03-01,2005-04-01,15 to 24 years,2006-04-01,Unemployment Rate,Males,11.1,11.1
May 2005,M,2006-04-01,2005-05-01,15 to 24 years,2006-05-01,Unemployment Rate,Males,11.1,11.1
June 2005,M,2006-05-01,2005-06-01,15 to 24 years,2006-06-01,Unemployment Rate,Males,10,10
July 2005,M,2006-06-01,2005-07-01,15 to 24 years,2006-07-01,Unemployment Rate,Males,11.6,11.6
August 2005,M,2006-07-01,2005-08-01,15 to 24 years,2006-08-01,Unemployment Rate,Males,10.3,10.3
September 2005,M,2006-08-01,2005-09-01,15 to 24 years,2006-09-01,Unemployment Rate,Males,10.4,10.4
October 2005,M,2006-09-01,2005-10-01,15 to 24 years,2006-10-01,Unemployment Rate,Males,8.2,8.2
November 2005,M,2006-10-01,2005-11-01,15 to 24 years,2006-11-01,Unemployment Rate,Males,9.5,9.5
December 2005,M,2006-11-01,2005-12-01,15 to 24 years,2006-12-01,Unemployment Rate,Males,10.1,10.1
January 2006,M,2006-12-01,2006-01-01,15 to 24 years,2007-01-01,Unemployment Rate,Males,11.9,11.9
February 2006,M,2007-01-01,2006-02-01,15 to 24 years,2007-02-01,Unemployment Rate,Males,10.9,10.9
March 2006,M,2007-02-01,2006-03-01,15 to 24 years,2007-03-01,Unemployment Rate,Males,11.4,11.4
April 2006,M,2007-03-01,2006-04-01,15 to 24 years,2007-04-01,Unemployment Rate,Males,10.2,10.2
March 2005,M,2006-02-01,2005-03-01,All working ages (15+),2006-03-01,Participation Rate,Males,72.8,72.8
April 2005,M,2006-03-01,2005-04-01,All working ages (15+),2006-04-01,Participation Rate,Males,73.4,73.4
May 2005,M,2006-04-01,2005-05-01,All working ages (15+),2006-05-01,Participation Rate,Males,74,74
June 2005,M,2006-05-01,2005-06-01,All working ages (15+),2006-06-01,Participation Rate,Males,74.2,74.2
