_previousYear,_units,Dataset,Date,Table Names,_valueConnector,Value
1980-11-01,(2002=100),Consumer Price Index,1981-11-01,table 18100004.hyper/table 18100004,52.8,52.8
1980-12-01,(2002=100),Consumer Price Index,1981-12-01,table 18100004.hyper/table 18100004,52.5,52.5
1981-01-01,(2002=100),Consumer Price Index,1982-01-01,table 18100004.hyper/table 18100004,52.8,52.8
1981-02-01,(2002=100),Consumer Price Index,1982-02-01,table 18100004.hyper/table 18100004,53.3,53.3
1981-03-01,(2002=100),Consumer Price Index,1982-03-01,table 18100004.hyper/table 18100004,53.9,53.9
1981-04-01,(2002=100),Consumer Price Index,1982-04-01,table 18100004.hyper/table 18100004,54.3,54.3
1981-05-01,(2002=100),Consumer Price Index,1982-05-01,table 18100004.hyper/table 18100004,55.3,55.3
1981-06-01,(2002=100),Consumer Price Index,1982-06-01,table 18100004.hyper/table 18100004,55.7,55.7
1981-07-01,(2002=100),Consumer Price Index,1982-07-01,table 18100004.hyper/table 18100004,55.9,55.9
1981-08-01,(2002=100),Consumer Price Index,1982-08-01,table 18100004.hyper/table 18100004,56,56
1981-09-01,(2002=100),Consumer Price Index,1982-09-01,table 18100004.hyper/table 18100004,56.3,56.3
1981-10-01,(2002=100),Consumer Price Index,1982-10-01,table 18100004.hyper/table 18100004,56.8,56.8
1981-11-01,(2002=100),Consumer Price Index,1982-11-01,table 18100004.hyper/table 18100004,57.1,57.1
1981-12-01,(2002=100),Consumer Price Index,1982-12-01,table 18100004.hyper/table 18100004,57.2,57.2
1982-01-01,(2002=100),Consumer Price Index,1983-01-01,table 18100004.hyper/table 18100004,57.3,57.3
1982-02-01,(2002=100),Consumer Price Index,1983-02-01,table 18100004.hyper/table 18100004,57.7,57.7
1982-03-01,(2002=100),Consumer Price Index,1983-03-01,table 18100004.hyper/table 18100004,58.2,58.2
1982-04-01,(2002=100),Consumer Price Index,1983-04-01,table 18100004.hyper/table 18100004,58.5,58.5
1982-05-01,(2002=100),Consumer Price Index,1983-05-01,table 18100004.hyper/table 18100004,58.8,58.8
1982-06-01,(2002=100),Consumer Price Index,1983-06-01,table 18100004.hyper/table 18100004,59,59
1982-07-01,(2002=100),Consumer Price Index,1983-07-01,table 18100004.hyper/table 18100004,59.4,59.4
1982-08-01,(2002=100),Consumer Price Index,1983-08-01,table 18100004.hyper/table 18100004,59.5,59.5
1982-09-01,(2002=100),Consumer Price Index,1983-09-01,table 18100004.hyper/table 18100004,59.6,59.6
1982-10-01,(2002=100),Consumer Price Index,1983-10-01,table 18100004.hyper/table 18100004,59.8,59.8
1982-11-01,(2002=100),Consumer Price Index,1983-11-01,table 18100004.hyper/table 18100004,60,60
1982-12-01,(2002=100),Consumer Price Index,1983-12-01,table 18100004.hyper/table 18100004,60.1,60.1
1983-01-01,(2002=100),Consumer Price Index,1984-01-01,table 18100004.hyper/table 18100004,60.4,60.4
2012-01-01,Index,Business Confidence,2013-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Business Confidence,24.6,24.6
2013-01-01,Index,Business Confidence,2014-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Business Confidence,20.2,20.2
2014-01-01,Index,Business Confidence,2015-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Business Confidence,21.1,21.1
2015-01-01,Index,Business Confidence,2016-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Business Confidence,28.1,28.1
2016-01-01,Index,Business Confidence,2017-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Business Confidence,29.1,29.1
2017-01-01,Index,Business Confidence,2018-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Business Confidence,32.9,32.9
2018-01-01,Index,Business Confidence,2019-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Business Confidence,32.8,32.8
2019-01-01,Index,Business Confidence,2020-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Business Confidence,34.9,34.9
2020-01-01,Index,Business Confidence,2021-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Business Confidence,37.8,37.8
2021-01-01,Index,Business Confidence,2022-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Business Confidence,42,42
2009-01-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2010-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1056513,1056513
2009-01-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2010-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1333014,1333014
2009-01-01,Metric Tonnes,Port-wide Cargo Throughput,2010-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2389527,2389527
2009-04-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2010-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,989424,989424
2009-04-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2010-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1213015,1213015
2009-04-01,Metric Tonnes,Port-wide Cargo Throughput,2010-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2202439,2202439
2009-07-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2010-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1067438,1067438
2009-07-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2010-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1423441,1423441
2009-07-01,Metric Tonnes,Port-wide Cargo Throughput,2010-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2490879,2490879
2009-10-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2010-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1162947,1162947
2009-10-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2010-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1271451,1271451
2009-10-01,Metric Tonnes,Port-wide Cargo Throughput,2010-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2434398,2434398
2010-01-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2011-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1098229,1098229
2010-01-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2011-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1289807,1289807
2010-01-01,Metric Tonnes,Port-wide Cargo Throughput,2011-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2388036,2388036
2010-04-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2011-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1125934,1125934
2010-04-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2011-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1336911,1336911
2010-04-01,Metric Tonnes,Port-wide Cargo Throughput,2011-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2462845,2462845
2010-07-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2011-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1049514,1049514
2010-07-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2011-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1171435,1171435
2010-07-01,Metric Tonnes,Port-wide Cargo Throughput,2011-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2220949,2220949
2010-10-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2011-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1175477,1175477
2010-10-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2011-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1239305,1239305
2010-10-01,Metric Tonnes,Port-wide Cargo Throughput,2011-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2414782,2414782
2011-01-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2012-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1037809,1037809
2011-01-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2012-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,999802,999802
2011-01-01,Metric Tonnes,Port-wide Cargo Throughput,2012-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2037611,2037611
2011-04-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2012-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1035727,1035727
2011-04-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2012-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1145812,1145812
2011-04-01,Metric Tonnes,Port-wide Cargo Throughput,2012-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2181539,2181539
2011-07-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2012-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1336122,1336122
2011-07-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2012-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1348673,1348673
2011-07-01,Metric Tonnes,Port-wide Cargo Throughput,2012-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2684795,2684795
2011-10-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2012-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1271857,1271857
2011-10-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2012-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1315159,1315159
2011-10-01,Metric Tonnes,Port-wide Cargo Throughput,2012-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2587016,2587016
2012-01-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2013-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1155633,1155633
2012-01-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2013-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1181833,1181833
2012-01-01,Metric Tonnes,Port-wide Cargo Throughput,2013-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2337466,2337466
2012-04-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2013-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1062735,1062735
2012-04-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2013-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1131526,1131526
2012-04-01,Metric Tonnes,Port-wide Cargo Throughput,2013-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2194261,2194261
2012-07-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2013-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,979516,979516
2012-07-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2013-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1129973,1129973
2012-07-01,Metric Tonnes,Port-wide Cargo Throughput,2013-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2109489,2109489
2012-10-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2013-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,849332,849332
2012-10-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2013-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1117496,1117496
2012-10-01,Metric Tonnes,Port-wide Cargo Throughput,2013-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1966828,1966828
2013-01-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2014-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1177616,1177616
2013-01-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2014-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,859356,859356
2013-01-01,Metric Tonnes,Port-wide Cargo Throughput,2014-01-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,2036972,2036972
2013-04-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2014-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,911346,911346
2013-04-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2014-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,944234,944234
2013-04-01,Metric Tonnes,Port-wide Cargo Throughput,2014-04-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1855580,1855580
2013-07-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2014-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1037315,1037315
2013-07-01,,EXPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2014-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,947117,947117
2013-07-01,Metric Tonnes,Port-wide Cargo Throughput,2014-07-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,1984432,1984432
2013-10-01,,IMPORTS Port-Wide Cargo at HPA & Non-HPA Facilities (metric tonnes),2014-10-01,Economic Dashboard - Manual Data Sheet.xlsx/Port Traffic,996815,996815
